Timestamp: 22:31:10.702 - Frame 245: x=0.01, y=0.00, z=0.70
Timestamp: 22:31:10.722 - Frame 246: x=0.01, y=0.00, z=0.70
Timestamp: 22:31:10.782 - Frame 247: x=0.01, y=0.00, z=0.70
Timestamp: 22:31:10.796 - Frame 248: x=0.01, y=0.00, z=0.70
Timestamp: 22:31:10.811 - Frame 249: x=0.01, y=0.00, z=0.70
Timestamp: 22:31:10.864 - Frame 250: x=0.00, y=0.00, z=0.70
Timestamp: 22:31:10.888 - Frame 251: x=0.00, y=0.00, z=0.70
Timestamp: 22:31:10.956 - Frame 252: x=0.00, y=0.00, z=0.71
Timestamp: 22:31:10.981 - Frame 253: x=0.00, y=0.00, z=0.71
Timestamp: 22:31:10.996 - Frame 254: x=0.00, y=0.00, z=0.71
Timestamp: 22:31:11.053 - Frame 255: x=-0.00, y=0.00, z=0.71
Timestamp: 22:31:11.075 - Frame 256: x=-0.00, y=0.00, z=0.71
Timestamp: 22:31:11.090 - Frame 257: x=-0.00, y=0.00, z=0.71
Timestamp: 22:31:11.231 - Frame 258: x=-0.00, y=0.00, z=0.71
Timestamp: 22:31:11.257 - Frame 259: x=-0.00, y=0.00, z=0.71
Timestamp: 22:31:11.786 - Frame 260: x=0.02, y=-0.03, z=0.74
Timestamp: 22:31:11.801 - Frame 261: x=0.02, y=-0.03, z=0.74
Timestamp: 22:31:11.817 - Frame 262: x=0.02, y=-0.03, z=0.74
Timestamp: 22:31:11.882 - Frame 263: x=0.02, y=-0.03, z=0.74
Timestamp: 22:31:11.910 - Frame 264: x=0.02, y=-0.03, z=0.74
Timestamp: 22:31:11.926 - Frame 265: x=0.02, y=-0.03, z=0.74
Timestamp: 22:31:11.965 - Frame 266: x=0.02, y=-0.03, z=0.73
Timestamp: 22:31:11.987 - Frame 267: x=0.02, y=-0.03, z=0.73
Timestamp: 22:31:12.057 - Frame 268: x=0.02, y=-0.03, z=0.73
Timestamp: 22:31:12.082 - Frame 269: x=0.02, y=-0.03, z=0.73
Timestamp: 22:31:12.096 - Frame 270: x=0.02, y=-0.03, z=0.73
Timestamp: 22:31:12.154 - Frame 271: x=0.02, y=-0.02, z=0.73
Timestamp: 22:31:12.176 - Frame 272: x=0.02, y=-0.02, z=0.73
Timestamp: 22:31:12.190 - Frame 273: x=0.02, y=-0.02, z=0.73
Timestamp: 22:31:12.251 - Frame 274: x=0.02, y=-0.02, z=0.73
Timestamp: 22:31:12.268 - Frame 275: x=0.02, y=-0.02, z=0.73
Timestamp: 22:31:12.283 - Frame 276: x=0.02, y=-0.02, z=0.73
Timestamp: 22:31:12.699 - Frame 277: x=0.01, y=0.01, z=0.72
Timestamp: 22:31:12.715 - Frame 278: x=0.01, y=0.01, z=0.72
Timestamp: 22:31:12.731 - Frame 279: x=0.01, y=0.01, z=0.72
Timestamp: 22:31:12.799 - Frame 280: x=0.01, y=0.01, z=0.71
Timestamp: 22:31:12.821 - Frame 281: x=0.01, y=0.01, z=0.71
Timestamp: 22:31:13.067 - Frame 282: x=0.02, y=0.02, z=0.71
Timestamp: 22:31:13.086 - Frame 283: x=0.02, y=0.02, z=0.71
Timestamp: 22:31:13.102 - Frame 284: x=0.02, y=0.02, z=0.71
Timestamp: 22:31:13.355 - Frame 285: x=0.03, y=0.01, z=0.71
Timestamp: 22:31:13.380 - Frame 286: x=0.03, y=0.01, z=0.71
Timestamp: 22:31:13.396 - Frame 287: x=0.03, y=0.01, z=0.71
Timestamp: 22:31:13.803 - Frame 288: x=-0.01, y=0.02, z=0.71
Timestamp: 22:31:13.815 - Frame 289: x=-0.01, y=0.02, z=0.71
Timestamp: 22:31:13.831 - Frame 290: x=-0.01, y=0.02, z=0.71
Timestamp: 22:31:13.899 - Frame 291: x=-0.01, y=0.02, z=0.71
Timestamp: 22:31:13.926 - Frame 292: x=-0.01, y=0.02, z=0.71
Timestamp: 22:31:13.940 - Frame 293: x=-0.01, y=0.02, z=0.71
Timestamp: 22:31:13.998 - Frame 294: x=-0.01, y=0.02, z=0.71
Timestamp: 22:31:14.018 - Frame 295: x=-0.01, y=0.02, z=0.71
Timestamp: 22:31:14.091 - Frame 296: x=-0.01, y=0.02, z=0.71
Timestamp: 22:31:14.108 - Frame 297: x=-0.01, y=0.02, z=0.71
Timestamp: 22:31:14.126 - Frame 298: x=-0.01, y=0.02, z=0.71
Timestamp: 22:31:14.171 - Frame 299: x=-0.01, y=0.02, z=0.71
Timestamp: 22:31:14.188 - Frame 300: x=-0.01, y=0.02, z=0.71
Timestamp: 22:31:14.203 - Frame 301: x=-0.01, y=0.02, z=0.71
Timestamp: 22:31:15.918 - Frame 302: x=0.00, y=0.00, z=0.72
Timestamp: 22:31:15.947 - Frame 303: x=0.00, y=0.00, z=0.72
Timestamp: 22:31:16.012 - Frame 304: x=-0.00, y=0.00, z=0.72
Timestamp: 22:31:16.040 - Frame 305: x=-0.00, y=0.00, z=0.72
Timestamp: 22:31:16.055 - Frame 306: x=-0.00, y=0.00, z=0.72
Timestamp: 22:31:16.109 - Frame 307: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.132 - Frame 308: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.145 - Frame 309: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.204 - Frame 310: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.223 - Frame 311: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.239 - Frame 312: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.287 - Frame 313: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.302 - Frame 314: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.475 - Frame 315: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.500 - Frame 316: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.516 - Frame 317: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.575 - Frame 318: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.593 - Frame 319: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.613 - Frame 320: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.655 - Frame 321: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.671 - Frame 322: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.749 - Frame 323: x=0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.762 - Frame 324: x=0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.778 - Frame 325: x=0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.938 - Frame 326: x=0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.952 - Frame 327: x=0.00, y=-0.00, z=0.72
Timestamp: 22:31:16.967 - Frame 328: x=0.00, y=-0.00, z=0.72
Timestamp: 22:31:17.115 - Frame 329: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:17.140 - Frame 330: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:17.154 - Frame 331: x=-0.00, y=-0.00, z=0.72
Timestamp: 22:31:17.210 - Frame 332: x=-0.00, y=-0.01, z=0.72
Timestamp: 22:31:17.234 - Frame 333: x=-0.00, y=-0.01, z=0.72
Timestamp: 22:31:17.244 - Frame 334: x=-0.00, y=-0.01, z=0.72
Timestamp: 22:31:17.307 - Frame 335: x=-0.00, y=-0.01, z=0.73
Timestamp: 22:31:17.325 - Frame 336: x=-0.00, y=-0.01, z=0.73
Timestamp: 22:31:17.339 - Frame 337: x=-0.00, y=-0.01, z=0.73
Timestamp: 22:31:17.391 - Frame 338: x=-0.00, y=-0.01, z=0.72
